desc,link,title
,http://www.appinn.com/,
,http://www.appinn.com/page/3/,
,http://www.appinn.com/page/6/,
,http://www.appinn.com/page/5/,
,http://www.appinn.com/page/2/,
,http://www.appinn.com/eyeem/,EyeEm – 照片滤镜相机[Android/iOS]
,http://www.appinn.com/page/4/,
,http://www.appinn.com/page/7/,
,http://www.appinn.com/tailor/,Tailor – 自动截图拼接[iPhone]
,https://worktile.com/?hmsr=appinn.com&hmmd=%E5%9B%BE%E7%89%87%E5%B9%BF%E5%91%8A&hmpl=&hmkw=&hmci=,"产品,媒体,支持,更多"
,http://www.appinn.com/lingualy/,使用 Lingualy 学习英语[iPhone/Android]
,http://www.appinn.com/alternote/,Alternote – 第三方轻量级 Evernote 客户端[OS X]
,http://www.appinn.com/expense-iq/,Expense IQ – 详尽的支出管理[Android]
,http://www.appinn.com/feeds-subscribe/,订阅指南
,http://www.appinn.com/receive-files-from-baidupan/,利用百度盘接收文件[Web]
,http://www.appinn.com/contribute/,
,http://www.appinn.com/chrome-extension-downloader-cn/,Chrome Extension Downloader – 在线下载 crx 文件[Web]
,http://s.click.taobao.com/t_js?tu=http%3A%2F%2Fs.click.taobao.com%2Ft%3Fe%3Dm%253D2%2526s%253Dm21S332M9WgcQipKwQzePCperVdZeJviEViQ0P1Vf2kguMN8XjClAo%252FM%252F5wMxReL8wsBmAclGgWxuA6l59gxFnESDz%252BK5omslLIFiCLUssz9lY88jHS9ImDLEhy1nIVFbUJfLy3crHrDX0%252BHH2IEVXtpfRa4TK3T7%252FnxyE9whUTXb7YcYklj7PDyvCalP1vJB0NBvebyY7cZhA6XFTGG9QIIMQqWcMlsLpxQX9cCZ6Y%253D%26ref%3Dhttp%253A%252F%252Fwww.appinn.com%252F%26et%3D%252B%252Bo7bS9gg93cixJXi4W1tK2RjcL2cq%252BC,
,http://www.appinn.com/contact/,联系我们
,https://www.yooli.com/secure/landing/2.html?sid=202&aid=cps-36&forceRecord=1,
,http://www.appinn.com/copyright/,版权声明
,https://portal.qiniu.com/signup?code=ap8ssg5jgpc,
,http://www.appinn.com/author/lychee/,
,http://www.appinn.com/join-us/,加入我们
,http://www.appinn.com/author/wjw19930520/,
,http://www.appinn.com/about/,关于小众软件
,http://www.appinn.com/author/yushufang/,
,http://www.appinn.com/author/390080445/,
,http://www.appinn.com/author/socekin/,
,http://www.appinn.com/author/thruth/,
,http://www.appinn.com/author/sfufoet/,
,http://www.appinn.com/category/softlist/,
,http://www.appinn.com/author/scavin/,
,http://www.appinn.com/1010-game/,1010! – 手动俄罗斯方块[iOS/Android/WP]
,http://www.appinn.com/disable-offers-java/,如何安装不带第三方赞助商产品的 Java？
,http://www.appinn.com/telegram-messenger/,Telegram Messenger – 会加密的聊天应用[跨平台]
,http://www.appinn.com/appdetox-for-android/,AppDetox – 治愈手贱党，限制打开应用[Android]
,http://www.appinn.com/lookfor/,LookFor – 在人群中找到你[Android/iPhone]
,http://www.appinn.com/xinshuru-input-method/,手心输入法 – 跨平台拼音输入法[Win/OS X/iOS/Android]
,http://www.appinn.com/lyne/,LYNE – 简约而不简单[iPhone/Android]
,http://mail.qq.com/cgi-bin/feed?u=feeds.appinn.com%2Fappinns%2F,
,http://www.appinn.com/notepad-plus/,记事本! – 轻巧带手势的记事应用[iOS]
,http://www.appinn.com/drawexpress-diagram/,DrawExpress Diagram Lite – 手绘思维导图[iOS/Android]
,http://www.appinn.com/curator/,Curator – 收集、整理、展示创作/想法/灵感[iOS]
,https://www.dida365.com/,"认识滴答清单,滴答清单有什么独特之处,TA们说"
,http://feedly.com/i/subscription/feed/http://feeds.appinn.com/appinns/,
,https://www.mockplus.cn/,
,http://www.appinn.com/2014-my-favorite-app/,2014 我最喜爱的年度应用评选
,http://www.appinn.com/quickmark-qrcode/,QuickMark QRCode – 可以批量扫描的二维码应用[iOS/Android/Chrome]
,http://www.appinn.com/category/games/,
,http://www.appinn.com/duolingo/,多邻国 – 在线英语学习课程[Web/iOS/Android/WP]
,http://www.appinn.com/category/systemthemes/,
,http://www.appinn.com/category/interesting/,
,http://www.douban.com/accounts/login?source=9,
,http://www.appinn.com/tag/%E8%A7%86%E9%A2%91/,
,http://www.appinn.com/category/pic/,
,http://feeds.appinn.com/appinns/,
,http://www.appinn.com/category/autohotkey/,
,http://www.appinn.com/tag/%E5%9B%BE%E7%89%87/,
,http://www.appinn.com/category/safetools/,
,http://www.appinn.com/tag/%E7%85%A7%E7%89%87/,
,http://www.appinn.com/category/system/,
,http://www.appinn.com/category/manage/,
,http://www.appinn.com/tag/%E5%AD%A6%E4%B9%A0/,
,http://www.appinn.com/category/pcskill/,
,http://www.appinn.com/category/office/,
,http://www.appinn.com/category/firefox/,
,http://www.appinn.com/category/google/,
,http://www.appinn.com/category/desktop/,
,http://www.appinn.com/category/online-tools/,
,http://www.appinn.com/category/tools/,
,http://www.appinn.com/tag/wechat/,
,http://www.appinn.com/tag/ipad/,
,http://www.appinn.com/category/net/,
,http://www.appinn.com/tag/iphone/,
,http://www.appinn.com/category/ios/,
,http://www.appinn.com/category/mac/,
,http://www.appinn.com/tag/windowsphone/,
,http://www.appinn.com/category/mobile/,
,http://www.appinn.com/archives/,
,http://love.appinn.com/,
,http://www.appinn.com/category/android/,
,http://www.appinn.com/category/chrome/,
,http://www.appinn.com/tag/selected/,
,http://hellohostnet.com,"我们特色,最新消息,客户评价"
